size,mflop
31,9144.7
32,9520.42
96,9854.81
97,10157.3
127,10315.4
128,2124.1
129,10134.4
191,9798.45
192,2086.22
229,8728.43
255,7715.15
256,2222.52
257,7773.46
319,6917.91
320,2018.24
321,6966.78
417,6721.24
479,6201.37
480,1943.99
511,6347.37
512,1332.21
639,5600.71
640,1805.78
767,5874.41
768,1862.09
769,6145.32
1023,4859.6
1024,627.887
1025,4739.69
1525,4480.35
1526,4471.03
1527,4495.33
